A,B,C,D
-0.044180185,1.3740087,-0.0010987371,-0.060716808
-0.18969634,2.4137197,0.032831162,-0.29116517
-0.12255722,1.9338799,0.022659823,-0.18840945
-0.019450158,1.1973133,-0.006868154,-0.021550834
0.023452193,0.8906511,-0.011650905,0.04299313
-0.028798848,1.2641749,-0.0074314475,-0.034570098
-0.11501089,1.879993,0.019581124,-0.17559975
-0.05740419,1.468555,-0.00054882467,-0.08000976
-0.0020382106,1.0729339,-0.01213707,0.006810963
0.021962106,0.90131545,-0.0120419115,0.041114092
0.030384243,0.84088707,-0.003491044,0.04760647
0.01674524,0.9388552,-0.021875829,0.040046394
0.039131105,0.7784922,-0.009756684,0.06420994
0.050078303,0.679971,-0.020148814,0.08674836
-0.13306877,2.0087872,0.033340424,-0.21041387
-0.19471857,2.4494777,0.039244264,-0.30253142
-0.026263624,1.2459569,-0.003691852,-0.033374608
-0.048141122,1.4022884,0.00069890916,-0.067558706
0.024830103,0.8808484,-0.013742641,0.04632789
0.05050467,0.58371484,-0.041240662,0.10153836
0.03873864,0.781309,-0.010188401,0.06392902
0.029018939,0.8507235,-0.0065684915,0.047655165
0.031245977,0.8347324,-0.0037958324,0.049038827
0.023013622,0.8938116,-0.012674823,0.043031752
-0.081912756,1.6436644,0.0053354204,-0.1189335
-0.11699289,1.8939247,0.029608876,-0.18496609
-0.041591376,1.3553767,0.0039127916,-0.060272634
-0.15247741,2.1472478,0.04678145,-0.24695486
-0.07514796,1.5952129,0.008629337,-0.11139166
-0.0036592185,1.0843594,-0.00523223,-5.4240227e-06
-0.0014610589,1.0686722,-0.006517291,0.00397861
-0.026310444,1.246217,-0.0005709231,-0.035473466
0.02320236,0.89239764,-0.009989634,0.041553795
0.014921099,0.95165515,-0.01173228,0.03083074
-0.18022457,2.3457363,0.043444425,-0.2845124
-0.103981614,1.8011284,0.019534364,-0.15977699
-0.37237075,3.7205997,0.0057046115,-0.5350693
-0.20499238,2.5228739,0.042049676,-0.3190685
-0.12024006,1.9171035,0.031300873,-0.19071722
-0.16176888,2.2138848,0.03855005,-0.25490016
-0.07689181,1.6079011,-0.00048099458,-0.10795754
0.008650303,0.9965589,-0.014381602,0.023576617
0.0055452287,1.0187497,-0.013876885,0.018802047
-0.19669709,2.4635856,0.040885746,-0.30643302
-0.24569634,2.814209,0.030470043,-0.36981213
-0.059431434,1.483077,-0.0016359836,-0.08220476
-0.15865445,2.191845,0.028960705,-0.24419767
-0.0015235841,1.0693316,-0.015362889,0.009647846
-0.13769567,2.0421739,0.020780116,-0.20886177
-0.18517846,2.381537,0.027717382,-0.28136694
-0.06069067,1.4921634,-0.0050564706,-0.08178097
-0.118000716,1.9015882,0.010586157,-0.17402482
-0.17449501,2.305224,0.024395734,-0.26390725
-0.10970858,1.8424749,0.0030659288,-0.15725571
-0.08145282,1.6406016,-0.004091665,-0.112137556
-0.19185814,2.429225,0.03087774,-0.29298884
-0.10331023,1.7967083,0.003677979,-0.14849263
0.0027010143,1.0390804,-0.013581812,0.014537394
0.0359174,0.8011917,0.0019245148,0.052003503
-0.074370444,1.5898328,0.0011450052,-0.10540581
0.037633285,0.7890017,-0.001394704,0.056621373
-0.028717965,1.2635739,-0.006479427,-0.035074055
-0.35793117,3.6175022,-0.00071933866,-0.51021165
-0.06492302,1.5223844,-0.0032791644,-0.08899814
-0.16105774,2.2089558,0.03204885,-0.2496494
-0.062639266,1.506032,-0.002347201,-0.086334825
-0.0020202696,1.0728164,-0.012588352,0.0071303844
-0.031040043,1.2802835,-0.010857791,-0.035548568
-0.058544904,1.4768279,-0.005389288,-0.07849181
-0.09591982,1.7441359,-0.00769867,-0.13050407
-0.17035487,2.2756815,0.021806955,-0.25629377
-0.09276882,1.72157,-0.006257236,-0.12693077
-0.16291252,2.2223396,0.02700749,-0.24902308
-0.07744655,1.6119771,-0.005034253,-0.105787575
-0.02382055,1.2287385,-0.014133707,-0.02307856
0.0025208294,1.0402343,-0.007976711,0.01063025
-0.031980664,1.2870317,-0.011796355,-0.036284328
-0.020861298,1.2075343,-0.012304246,-0.020032346
0.015586644,0.9465853,0.001221925,0.02335012
0.018043727,0.92899466,0.0020933747,0.026300967
-0.117133886,1.8953748,0.011222914,-0.17319822
0.025919557,0.8726747,0.0022324324,0.037487507
-0.0024429262,1.0758834,-0.014445931,0.007734537
-0.16792873,2.2579944,0.035915703,-0.2620051
-0.10950467,1.8407836,0.0127945095,-0.16329741
-0.32313648,3.3690858,-0.016790032,-0.449928
0.015410572,0.94830537,-0.01799041,0.035605848
-0.1255584,1.9552674,0.025691837,-0.19468063
-0.086693674,1.6779313,0.0019786954,-0.12359375
0.0059209466,1.0161211,-0.016293406,0.020913184
0.0288845,0.8515866,-0.002470702,0.044794858
-0.011047691,1.1372442,-0.0074434876,-0.009145081
-0.045718044,1.3850322,-0.0022107959,-0.062194884
0.047471493,0.69489336,-0.015784144,0.08019149
0.04000768,0.7721727,-0.0076085627,0.06406656
0.01421693,0.95687413,-0.019378051,0.034800112
0.016772777,0.9386172,-0.020166695,0.038973153
0.033510953,0.81852365,-0.003257364,0.05193138
-0.06790796,1.543647,0.00011602044,-0.09548253
-0.20037964,2.4899378,0.040060967,-0.31116897
-0.0011062324,1.066181,-0.008434758,0.0057350397
-0.0143429935,1.1608262,-0.008220017,-0.013357937
0.026883364,0.8660321,-0.00814867,0.045625985
0.012588412,0.96852136,-0.019477129,0.03253281
0.02446577,0.88331926,-0.008138001,0.042157352
-0.02914083,1.2666488,-0.008596137,-0.03430152
-0.08129376,1.6394601,-0.003908053,-0.11202937
0.01682204,0.93819976,-0.017450139,0.037275076
0.041401654,0.63707185,-0.03023699,0.08139521
0.045548677,0.71156085,-0.011662006,0.07474023
0.0383192,0.6785157,-0.018491283,0.06924063
-0.0074792504,1.1117492,-0.008324474,-0.0034620762
0.049640015,0.6980698,-0.016407624,0.08361319
0.00040829182,1.0555115,-0.015108019,0.012248099
-0.024527699,1.2337523,-0.012361467,-0.025244772
0.0049515367,1.0229845,-0.013440907,0.017668068
0.03670779,0.7955774,0.00035962462,0.054154098
-0.036871314,1.321897,-0.0073834956,-0.046159983
0.037234724,0.7392762,-0.0022631586,0.05686754
-0.05133578,1.4252782,-0.0053667724,-0.06818408
0.0042945445,1.0276861,-0.013597041,0.016829014
-0.0028128922,1.0785294,-0.01447469,0.0072235465
-0.0148952305,1.1648617,-0.011823431,-0.011802733
0.012858272,0.96646535,-0.014209107,0.029489517
0.032858998,0.5469065,-0.029541865,0.068508565
0.04177022,0.62958074,-0.03281924,0.08362755
0.0143889785,0.9553987,-0.009168476,0.028399706
0.045392722,0.7336929,-0.008717433,0.072499126
0.04169132,0.760075,-0.0051665604,0.064887464
0.036123738,0.7233745,-0.0059877634,0.05781597
-0.029912949,1.2720916,-0.005340621,-0.037526548
-0.0003310144,1.0608442,-0.017041504,0.012448311
-0.03129205,1.2819629,-0.005759284,-0.039228678
0.046084553,0.7184546,-0.010662213,0.07480526
0.03909509,0.67568016,-0.020047128,0.07135171
0.018060774,0.9290409,-0.0048986673,0.030877411
0.017362505,0.9340768,-0.0066899657,0.031043768
0.030554742,0.83951926,0.0026937574,0.043824136
0.03663045,0.69812274,-0.012860417,0.06312004
0.019046247,0.92201924,-0.0059503466,0.03297317
0.04702869,0.5918791,-0.040159687,0.09593713
0.0025258362,1.0403562,-0.014537692,0.01490885
0.03988041,0.72121525,-0.0074733645,0.0640443
0.039342463,0.6802945,-0.016803175,0.06956312
0.030936569,0.52239466,-0.025674716,0.06313062
0.048568875,0.5846275,-0.041097075,0.098734856
0.032566994,0.52364135,-0.028982297,0.06764957
0.039107323,0.7786466,-0.00910303,0.06375033
0.05109009,0.6932219,-0.019896984,0.08793518
0.01959759,0.4368062,0.0032738596,0.027498424
0.043199852,0.6380539,-0.028030142,0.08246684
0.03147298,0.50453806,-0.027105302,0.06478101
0.048508868,0.6850029,-0.018409058,0.083397925
0.04957974,0.5861207,-0.041095078,0.10013932
0.04696238,0.6862159,-0.017720267,0.080782086
0.044050783,0.63132226,-0.030083805,0.08502555
0.03071332,0.83849216,-0.0017492473,0.046943724
0.021436363,0.90493464,-0.006203145,0.03656006
0.042960018,0.69934916,-0.012540415,0.07175252
0.0083657205,0.99869084,-0.018428728,0.025803983
0.008206785,0.9998385,-0.01888898,0.025875986
-0.07071,1.5638001,-0.004747659,-0.09632826
-0.059363693,1.4825501,0.00013712049,-0.083262086
0.015561819,0.9471508,-0.014937699,0.033834994
0.038860425,0.7215693,-0.006498024,0.061981887
0.03662458,0.71512794,-0.007821247,0.059749305
0.035980195,0.7269914,-0.0047522336,0.05679351
0.04689865,0.59340954,-0.039812565,0.095522046
0.03982404,0.6452657,-0.02845779,0.0779925
0.036496922,0.71709454,-0.0080547035,0.059713542
0.024858326,0.88024306,0.0030662417,0.035425186
0.043350488,0.7482259,-0.0057872683,0.067667246
0.03772083,0.69012165,-0.016443059,0.06701511
0.045545697,0.59384346,-0.039169446,0.093176454
0.038404092,0.72587323,-0.005531311,0.06069404
0.042268932,0.6249418,-0.033776358,0.08497
0.042482376,0.62234735,-0.03429833,0.08562058
0.036755204,0.57127666,-0.033386976,0.07669854
0.038107365,0.6818428,-0.018993378,0.06925559
0.031719238,0.8311789,0.00326474,0.045119822
0.04020214,0.7240112,-0.006465435,0.063824266
0.03853908,0.6787677,-0.018894494,0.06980929
0.038274556,0.67421246,-0.020550936,0.07053995
0.045587376,0.5991868,-0.03922081,0.09327638
0.044622168,0.6076689,-0.037569687,0.09081164
0.03289333,0.5546037,-0.029570207,0.068602026
0.031435788,0.5525031,-0.026270539,0.064339936
0.02340442,0.50715494,-0.0059779882,0.03929317
0.045690387,0.6017029,-0.038841337,0.093161225
0.040249646,0.6398239,-0.030007556,0.07962251
0.046242774,0.59641635,-0.039572716,0.0944348
0.026855826,0.53078914,-0.0155441165,0.05063826
0.024796188,0.5151181,-0.009952024,0.043941736
0.0463164,0.59633374,-0.03947988,0.09447765
0.033344418,0.54830086,-0.030666485,0.06994891
0.039589584,0.57210135,-0.035116836,0.08190328
0.027841717,0.53679836,-0.017844856,0.053589106
0.04073666,0.63868666,-0.029981509,0.08029169
0.037186652,0.7034099,-0.010820523,0.06254387
-0.020138115,1.2022152,-0.0061498433,-0.023003519
0.037618995,0.6913676,-0.013861731,0.06518602
0.020610064,0.91112244,-0.017837659,0.042951345
0.028447956,0.85476065,-0.0046625435,0.04559672
-0.100538194,1.776773,0.008414328,-0.14760703
-0.0056898296,1.0990934,-0.014141768,0.0028873682
-0.038539022,1.33371,-0.0027154833,-0.051586926
0.043787003,0.6233474,-0.033218846,0.08673638
0.04132378,0.7022594,-0.011077732,0.06849924
0.03797987,0.68427324,-0.015866518,0.067029715
0.043570742,0.7020842,-0.012229145,0.07239032
0.039314732,0.66882837,-0.02067314,0.07209906
0.028802961,0.52236044,-0.021041274,0.057029366
0.031903237,0.52528644,-0.027650684,0.06582177
0.037725866,0.6971774,-0.011931971,0.06405103
0.038688987,0.78162,-0.008360833,0.062668115
0.043478325,0.6931573,-0.013784766,0.07331675
0.025361806,0.8768692,-0.0063553303,0.04227978
0.024189085,0.88542867,-0.013592005,0.04531187
-0.019342393,1.1965175,-0.00582847,-0.022073388
